Feature,Missing_Values,Missing_Percentage,Data_Type
Close_to_MA200_ratio,180,9.955752212389381,float64
MA200,180,9.955752212389381,float64
MA50,30,1.6592920353982303,float64
Close_to_MA50_ratio,30,1.6592920353982303,float64
volatility_30d,11,0.6084070796460177,float64
ATR_30d,11,0.6084070796460177,float64
HL_pct_30d,10,0.5530973451327433,float64
ATR_20d,1,0.05530973451327434,float64
momentum_20d,1,0.05530973451327434,float64
volatility_20d,1,0.05530973451327434,float64
MA10,0,0.0,float64
Stock Splits,0,0.0,float64
Open,0,0.0,float64
High,0,0.0,float64
Low,0,0.0,float64
Close,0,0.0,float64
MACD,0,0.0,float64
MACD_signal,0,0.0,float64
MACD_histogram,0,0.0,float64
MACD_bullish,0,0.0,int64
MACD_cross_up,0,0.0,int64
BB_upper,0,0.0,float64
BB_middle,0,0.0,float64
BB_lower,0,0.0,float64
BB_width,0,0.0,float64
BB_position,0,0.0,float64
Dividends,0,0.0,float64
Volume,0,0.0,int64
Close_to_MA10_ratio,0,0.0,float64
RSI,0,0.0,float64
RSI_oversold,0,0.0,int64
RSI_overbought,0,0.0,int64
volatility_10d,0,0.0,float64
true_range,0,0.0,float64
daily_return,0,0.0,float64
BB_breakout_lower,0,0.0,int64
BB_breakout_upper,0,0.0,int64
BB_squeeze,0,0.0,int64
ATR_10d,0,0.0,float64
HL_pct_10d,0,0.0,float64
GK_volatility,0,0.0,float64
GK_volatility_20d,0,0.0,float64
Close_lag_1,0,0.0,float64
Close_lag_2,0,0.0,float64
Close_lag_3,0,0.0,float64
open_close_ratio,0,0.0,float64
high_close_ratio,0,0.0,float64
HL_pct_20d,0,0.0,float64
low_close_ratio,0,0.0,float64
price_change,0,0.0,float64
is_green,0,0.0,int64
price_change_pct,0,0.0,float64
is_doji,0,0.0,int64
body_size,0,0.0,float64
upper_shadow,0,0.0,float64
is_red,0,0.0,int64
lower_shadow,0,0.0,float64
volume_ma_10,0,0.0,float64
momentum_5d,0,0.0,float64
volume_ratio,0,0.0,float64
trend_strength_5d,0,0.0,float64
momentum_10d,0,0.0,float64
trend_strength_10d,0,0.0,float64
trend_strength_20d,0,0.0,float64
